commit	composite_score	val_dir_auc	status	description
initial	0.573009	0.502193	keep	Baseline (no leakage, filtered last bar)
32992a9	0.559772	0.562218	keep	Exp 19: Ret_Persistence, Vol_x_Time (CHAMPION AUC/ACC)
b22abbb	0.565210	0.553506	discard	Exp 26: Vol_Adj_Mom, Lambda=15.0 (Failed AUC)
58f38ef	0.550497	0.548979	discard	Phase1: 時段+RSI+Reversal, num_leaves=63
fc63352	0.559211	0.550149	discard	Phase1b: 時段+RSI+Reversal, 原版超參數
71e4319	0.552862	0.550639	discard	Phase2: OFI+Cum_OFI+互動項
7b2b535	0.566810	0.471771	diagnostic	Diag-C: 純動態特徵（無靜態）
phase-b	0.368798	0.490286	discard	Phase-B: Next3-bar target(15min), OFI+動態特徵
7b2b535	0.553456	0.551555	discard	Phase-B2: OFI反轉(均值回歸), Remaining_Dir target
a37ff18	0.534614	0.531234	discard	Seg-3: 分時段模型(Morning/Midday/Afternoon)
dc9c15b	0.725867	0.514580	discard	Morning-Only: 開盤段專用模型(~5k筆), num_leaves=31
